station_name,province,city,district,up_number,down_number,up_arrival_delay_number,down_arrival_delay_number,up_departure_delay_number,down_depature_delay_number
Beijingbei Railway Station,Beijing,Beijing,Xichengqu,251,278,8,0,0,10
Beijingnan Railway Station,Beijing,Beijing,Fengtaiqu,13363,13729,1478,56,0,472
Beijingxi Railway Station,Beijing,Beijing,Fengtaiqu,9745,10306,795,36,0,181
Qinghe Railway Station,Beijing,Beijing,Haidian,666,672,44,33,15,37
Zhengzhou Railway Station,Henan,Zhengzhou,Zhengzhou,3736,465,1127,156,958,162
Zhengzhoudong Railway Station,Henan,Zhengzhou,Zhengzhou,26382,12846,1614,1024,921,740
Zhengzhouxi Railway Station,Henan,Zhengzhou,Zhengzhou,1990,739,423,58,236,46
Hankou Railway Station,Hubei,Wuhan,Wuhan,4310,1613,953,128,670,134
Wuhan Railway Station,Hubei,Wuhan,Wuhan,20396,9893,1748,1043,825,636
Tianhejichang Railway Station,Hubei,Wuhan,Wuhan,233,241,11,77,4,39
Shanghai Railway Station,Shanghai,Shanghai,Shanghai,11208,6265,343,661,429,10
Shanghaihongqiao Railway Station,Shanghai,Minxing,Minxing,33115,20021,3693,2052,1752,1646
Shanghaixi Railway Station,Shanghai,Putuoqu,Shanghai,1205,675,249,340,254,236
Nanxiangbei Railway Station,Shanghai,Jiadingqu,Jiading,448,0,199,0,174,0
Guangzhoubei Railway Station,Guangdong,Guangzhou,Guangzhou,1645,1939,547,532,366,558
Guangzhounan Railway Station,Guangdong,Guangzhou,Guangzhou,25375,20016,5643,2354,3807,2066
Qingsheng Railway Station,Guangdong,Guangzhou,Guangzhou,701,1108,207,147,145,66
Xianbei Railway Station,Shanxi,Xian,Xian,13875,4612,1184,689,267,178
Afanggong Railway Station,Shanxi,Xian,Xian,455,252,169,22,46,13
Shenyang Railway Station,Liaoning,Shenyang,Shenyang,7537,6539,782,532,833,463
Shenyangbei Railway Station,Liaoning,Shenyang,Shenyang,8761,4805,1227,693,1029,459
Shenyangnan Railway Station,Liaoning,Shenyang,Shenyang,3810,3386,317,563,300,290
Nanjing Railway Station,Jiangsu,Nanjing,Nanjing,4774,4774,1424,0,0,103
Nanjingnan Railway Station,Jiangsu,Nanjing,Nanjing,40908,14842,10718,4540,8946,3640
Jiangning Railway Station,Jiangsu,Nanjing,Jiangning,1118,307,371,44,231,32
Jiangningxi Railway Station,Jiangsu,Nanjing,Jiangning,571,0,131,0,72,0
Xianlin Railway Station,Jiangsu,Nanjing,Nanjing,112,112,105,0,95,1
Guiyangdong Railway Station,Guizhou,Guiyang,Guiyang,646,1991,130,406,176,427
Guiyangbei Railway Station,Guizhou,Guiyang,Guiyang,11141,7028,4067,978,2404,459
Changshanan Railway Station,Hunan,Changsha,Changsha,30538,22162,1962,2042,1245,2278
Zhuzhouxi Railway Station,Hunan,Zhuzhou,Zhuzhou,6408,3105,2521,363,2065,295
Xiangtanbei Railway Station,Hunan,Xiangtan,Xiangtan,3873,3129,206,156,137,123
